Key,English
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White Reagent
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue Reagent
PRODUCTION_RECIPE_NAME_REDREAGENT,Red Reagent
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green Reagent
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow Reagent
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold Reagent
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox
