Key,English,Filipino
INDEPENDENCE_TITLE_NAME_FAMOUS_GATHERER,Famous Gatherer,Kilalang Mangangalap
INDEPENDENCE_TITLE_DESC_FAMOUS_GATHERER,Reward for ranking in Herb Gathering Mastery.,Gantimpala sa pag-rank sa Herb Gathering Mastery
INDEPENDENCE_TITLE_NAME_FAMOUS_LUMBERJACK,Famous Lumberjack,Kilalang Magtrotroso
INDEPENDENCE_TITLE_DESC_FAMOUS_LUMBERJACK,Reward for ranking in Wood Cutting Mastery.,Gantimpala sa pag-rank sa Wood Cutting Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_MINER,Famous Miner,Kilalang Minero
INDEPENDENCE_TITLE_DESC_FAMOUS_MINER,Reward for ranking in Mining Mastery.,Gantimpala sa pag-rank sa Mining Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_FISHER,Famous Fisher,Kilalang Mangingisda
INDEPENDENCE_TITLE_DESC_FAMOUS_FISHER,Reward for ranking in Fishing Mastery.,Gantimpala sa pag-rank sa Fishing Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_COOK,Famous Cook,Kilalang Kusinero
INDEPENDENCE_TITLE_DESC_FAMOUS_COOK,Reward for ranking in Cooking Mastery.,Gantimpala sa pag-rank sa Cooking Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_ALCHEMIST,Famous Alchemist,Kilalang Alkemista
INDEPENDENCE_TITLE_DESC_FAMOUS_ALCHEMIST,Reward for ranking in Alchemy Mastery.,Gantimpala sa pag-rank sa Alchemy Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_CARPENTER,Famous Carpenter,Kilalang Karpintero
INDEPENDENCE_TITLE_DESC_FAMOUS_CARPENTER,Reward for ranking in Carpentry Mastery.,Gantimpala sa pag-rank sa Carpentry Mastery.
INDEPENDENCE_TITLE_NAME_FAMOUS_SMITH,Famous Smith,Kilalang Panday
INDEPENDENCE_TITLE_DESC_FAMOUS_SMITH,Reward for ranking in Smithing Mastery.,Gantimpala sa pag-rank sa Smithing Mastery.
