Key,English,Filipino
PROPSKILL_TXT_000309,,
PROPSKILL_TXT_000000,Clean Hit,Clean Hit
PROPSKILL_TXT_000001,"A powerful, downward strike.","Isang malakas, pababang atake."
PROPSKILL_TXT_000002,Flurry,Flurry
PROPSKILL_TXT_000003,"Rapid, stabbing attack.","Mabilis, pasaksak na atake."
PROPSKILL_TXT_000004,Over Cutter,Over Cutter
PROPSKILL_TXT_000005,"Powerful, upward, finishing move.","Malakas, pataas, na finishing move."
PROPSKILL_TXT_000006,Slash,Slash
PROPSKILL_TXT_000007,"Strikes the enemy two times, in rapid succession.","Tamaan ang kalaban ng dalawang beses, nang mabilisan."
PROPSKILL_TXT_000008,Keenwheel,Keenwheel
PROPSKILL_TXT_000009,A continuous spinning attack.,Tuloy-tuloy na umiikot na atake.
PROPSKILL_TXT_000010,Blindside,Blindside
PROPSKILL_TXT_000011,"A spinning, finishing move.",Isang paikot na finishing move.
PROPSKILL_TXT_000012,Protection,Protection
PROPSKILL_TXT_000013,Increases the defense of a Shield against melee attacks & significantly increases Ranged Block.,Dinadagdagan ang depensa ng isang kalasag laban sa melee attacks at tinataasan ang Ranged Block.
PROPSKILL_TXT_000014,Pan Barrier,Pan Barrier
PROPSKILL_TXT_000015,Significantly increases Ranged Block.,Dinadagdagan ang Ranged Block.
PROPSKILL_TXT_000016,Blazing Sword,Blazing Sword
PROPSKILL_TXT_000017,Increases Accuracy and increases power of the Sword.,Dinadagdagan ang Accuracy at lakas ng espada.
PROPSKILL_TXT_000018,Smite Axe,Smite Axe
PROPSKILL_TXT_000019,Increases Accuracy and increases power of the Axe.,Dinadagdagan ang Accuracy at lakas ng palakol.
PROPSKILL_TXT_000020,Empower weapon,Empower weapon
PROPSKILL_TXT_000021,Uses the element of a weapon to boost your attack power.,Gumagamit ng element ng isang armas para dagdagan ang iyong attack power.
PROPSKILL_TXT_000022,Bloody Strike,Bloody Strike
PROPSKILL_TXT_000024,Sword Mastery,Sword Mastery
PROPSKILL_TXT_000025,Increases the striking power of a Sword.,Dinadagdagan ang lakas ng isang Espada.
PROPSKILL_TXT_000026,Axe Mastery,Axe Mastery
PROPSKILL_TXT_000027,Increases the striking power of an axe.,Dinadagdagan ang lakas ng isang palakol.
PROPSKILL_TXT_000028,Special Hit,Special Hit
PROPSKILL_TXT_000029,"A single, powerful strike that attacks all enemies around you.",Isang malakas na tama na tinatamaan lahat ng kalaban sa harap.
PROPSKILL_TXT_000030,Guillotine,Guillotine
PROPSKILL_TXT_000031,"A powerful, ranged attack.",Malakas na pang-malayuang atake.
PROPSKILL_TXT_000032,Sneaker,Sneaker
PROPSKILL_TXT_000033,Stops an enemy.,Pinipigilan ang kaaway.
PROPSKILL_TXT_000034,Reflex Hit,Reflex Hit
PROPSKILL_TXT_000035,This skill absorbs one attack and releases back at an enemy.,Ang skill na ito ay kinukuha ang atake at binabalik pabalik sa kalaban.
PROPSKILL_TXT_000036,Guard,Guard
PROPSKILL_TXT_000037,Decreases all incoming damage from enemies by sacrificing attack power. Requires a weapon to be equipped.,Nababawasan ang lahat ng mga parating na damage ng mga kalaban kapalit ang pagsakripisyo ng attack power. Kailangan ng weapon para magamit.
PROPSKILL_TXT_000038,Pain Reflection,Pain Reflection
PROPSKILL_TXT_000039,Reflects a part of the damage received by an enemy.,Ibalik ang ilang bahagi ng damage na natanggap sa kalaban.
PROPSKILL_TXT_000040,Rage,Rage
PROPSKILL_TXT_000041,Increases striking power. Become more vulnerable to all incoming attacks.,Pinapalakas ng striking power. Ngunit mas hihina ka laban sa mga paparating na attacks.
PROPSKILL_TXT_000042,Power Swing,Power Swing
PROPSKILL_TXT_000043,To strike a blow at the enemy by flourishing a weapon. Requires a two-handed weapon.,To strike a blow at the enemy by flourishing a weapon. Requires a two-handed weapon.
PROPSKILL_TXT_000044,Earth Divider,Earth Divider
PROPSKILL_TXT_000045,"Powerful, downward strike. Has a chance to reduce Incoming Healing on target. Requires a two-handed weapon.","Powerful, downward strike. Has a chance to reduce Incoming Healing on target. Requires a two-handed weapon."
PROPSKILL_TXT_000046,Charge,Charge
PROPSKILL_TXT_000047,"Powerful, upward strike. Stuns the enemy. Requires a two-handed weapon.","Powerful, upward strike. Stuns the enemy. Requires a two-handed weapon."
PROPSKILL_TXT_000048,Pain Dealer,Pain Dealer
PROPSKILL_TXT_000049,"Powerful, downward strike. Lowers the defense of the target. Requires a two-handed weapon.","Powerful, downward strike. Lowers the defense of the target. Requires a two-handed weapon."
PROPSKILL_TXT_000050,Power Stomp,Power Stomp
PROPSKILL_TXT_000051,"Pounds the ground, stunning nearby enemies. Requires a two-handed weapon.","Pounds the ground, stunning nearby enemies. Requires a two-handed weapon."
PROPSKILL_TXT_000052,Cross Strike,Cross Strike
PROPSKILL_TXT_000053,Powerful strike using two weapons.,Malakas na palo gamit ang dalawang weapon.
PROPSKILL_TXT_000054,Armor Penetrate,Armor Penetrate
PROPSKILL_TXT_000055,Strikes at the enemy and lowers their Block Rate.,Paluin ang kalaban at bababa ang kanilang Block Rate.
PROPSKILL_TXT_000056,Silent Strike,Silent Strike
PROPSKILL_TXT_000057,Pounces on the enemy from afar. Stuns the target. Requires two weapons.,Pounces on the enemy from afar. Stuns the target. Requires two weapons.
PROPSKILL_TXT_000058,Blade Dance,Blade Dance
PROPSKILL_TXT_000059,Rapidly strikes the blades at multiple enemies. Requires two weapons.,Rapidly strikes the blades at multiple enemies. Requires two weapons.
PROPSKILL_TXT_000060,Spring Attack,Spring Attack
PROPSKILL_TXT_000061,Strikes at an enemy multiple times. Each hit has a chance to deal double damage. Requires two weapons.,Strikes at an enemy multiple times. Each hit has a chance to deal double damage. Requires two weapons.
PROPSKILL_TXT_000062,Hawk Attack,Hawk Attack
PROPSKILL_TXT_000063,"Powerful, downward strike. Lowers targets accuracy. Requires two weapons.","Powerful, downward strike. Lowers targets accuracy. Requires two weapons."
PROPSKILL_TXT_000064,Sonic Blade,Sonic Blade
