Key,English,French
PROPITEM_TXT_000001,,
PROPITEM_TXT_000002,Hand,Main
PROPITEM_TXT_000004,Penya,Penya
PROPITEM_TXT_000012,P.K Reward,Récompense PK
PROPITEM_TXT_000014,(Practice) Wooden Sword,Épée d'Entraînement
PROPITEM_TXT_000016,Wooden Sword,Épée en Bois
PROPITEM_TXT_000018,Normal Sword,Épée Rouillée
PROPITEM_TXT_000020,Long Sword,Épée Longue
PROPITEM_TXT_000022,Hand Saw,Épée Ciselée
PROPITEM_TXT_000024,Hand Claw,Épée Dentelée
PROPITEM_TXT_000026,Leaf Sword,Épée Folio
PROPITEM_TXT_000028,Parmil Sword,Épée Parmil
PROPITEM_TXT_000030,Penel Sword,Épée Penel
PROPITEM_TXT_000032,Crimson Sword,Épée Cramoisie
PROPITEM_TXT_000034,Flower Sword,Épée Flora
PROPITEM_TXT_000036,Petal Sword,Épée Fortis
PROPITEM_TXT_000038,Star Sword,Épée Étoilée
PROPITEM_TXT_000040,Blink Sword,Épée Scintillante
PROPITEM_TXT_000042,Slogger Sword,Épée du Bourreau
PROPITEM_TXT_000044,Outlaw Sword,Épée Bandit
PROPITEM_TXT_000046,Fairlight Sword,Épée Lumière
PROPITEM_TXT_000048,Fairslender Sword,Épée Ténèbre
PROPITEM_TXT_000050,Turtle Sword,Épée Tortue
PROPITEM_TXT_000052,Clip Sword,Épée Clip
PROPITEM_TXT_000054,Oval Sword,Épée Ovale
PROPITEM_TXT_000056,Tao Sword,Épée Tao
PROPITEM_TXT_000058,Jaim Sword,Épée Jaim
PROPITEM_TXT_000060,Sepal Sword,Épée Sépale
PROPITEM_TXT_000062,Hansel Sword,Épée Hansel
PROPITEM_TXT_000064,Cyclos Sword,Épée Cylos
PROPITEM_TXT_000066,Comet Sword,Épée Cosmique
PROPITEM_TXT_000068,Invader Sword,Épée Barbare
PROPITEM_TXT_000070,Pricker Sword,Épée Barbare
PROPITEM_TXT_000072,Stitch Sword,Épée Sith
PROPITEM_TXT_000074,Subblade Sword,Épée Bilame
PROPITEM_TXT_000076,Multiblade Sword,Épée Multilame
PROPITEM_TXT_000078,Bigmas Sword,Épée Imposante
PROPITEM_TXT_000080,Panggril Sword,Épée Pangril
PROPITEM_TXT_000082,Savage Sword,Épée Sauvage
PROPITEM_TXT_000084,Carnage Sword,Épée Carnage
PROPITEM_TXT_000086,Knocker Sword,Épée Assomante
PROPITEM_TXT_000088,Janitor Sword,Épée Janitor
PROPITEM_TXT_000090,Blue Shine Sword,Épée Néon
PROPITEM_TXT_000092,Blue Jade Sword,Épée Jade
PROPITEM_TXT_000094,Shyer Sword,Épée Shyer
PROPITEM_TXT_000096,Zeroth Sword,Épée Zeroth
PROPITEM_TXT_000098,Rowbenon Sword,Épée Colossale
PROPITEM_TXT_000100,Emeryl Sword,Épée Emeryl
PROPITEM_TXT_000102,Khaicator Sword,Épée Khaicator
PROPITEM_TXT_000104,Chainsing Sword,Épée Chainsing
PROPITEM_TXT_000106,Axilow Sword,Épée Axilow
PROPITEM_TXT_000108,Harpion Sword,Épée Harpion
PROPITEM_TXT_000110,Breakest Sword,Épée Breaker
PROPITEM_TXT_000112,Smiter Sword,Épée Smiter
PROPITEM_TXT_000114,Runaicing Sword,Épée Rune
PROPITEM_TXT_000116,Shadeving Sword,Épée Ombre
PROPITEM_TXT_000118,Fireise Sword,Épée Fira
PROPITEM_TXT_000120,Hotter Sword,Épée Brûlante
PROPITEM_TXT_000122,Curin Axe,Hache Curin
PROPITEM_TXT_000124,Rodney Axe,Hache Rodney
